attachment,file,width,height,min,max,mean,std,p01,p99,edge_density,sha256
附件2,附件2\图2-2.jpg,244,1350,18.0,255.0,174.3606,28.4503,115.0,255.0,0.268846,d7280790dd546ca27b3706757cde19ced3439a21d0776144822724ef03749f54
附件2,附件2\图2-3.jpg,244,1350,18.0,255.0,162.3286,28.5671,121.0,255.0,0.050987,e0645b4e68595ac4833eb7e1773909cd194102744572ef96de67e47717df8a81
附件2,附件2\图2-4.jpg,244,1350,18.0,255.0,179.0967,28.6462,128.0,255.0,0.214681,d8f738217a7189fe9d36426028549e37b9f818463446e736bf2009b4b4bcc949
附件2,附件2\图2-5.jpg,244,1350,18.0,255.0,178.6837,27.8334,127.0,255.0,0.296758,9408ca5699706ada66e3005d0762cbd0245584e97f1c10886d50dc8ba2ad3431
附件2,附件2\图2-6.jpg,244,1350,18.0,255.0,175.5549,31.3981,114.0,255.0,0.239359,314d7212117e8d9a482c11b04122fa84146cdcc932facd3fa797466074454750
附件2,附件2\图2-7.jpg,244,1350,18.0,255.0,174.2936,27.7791,124.0,255.0,0.212435,c7b76d279c57f9ccfc68124c9a84970bd74d1f425ead95d093e143471d3f54d1
附件2,附件2\图2-8.jpg,244,1350,18.0,255.0,173.9493,25.0621,115.0,255.0,0.263455,7b5adcb7b752188b39e177cfff86b7c6d32730b0c53ed0d9ce44aa60015045e1
附件2,附件2\图2-9.jpg,244,1350,33.0,239.0,108.8117,22.7655,63.0,171.0,0.213737,dd39fea2a51a57094934abbde1acd2f9f51d81e9c40a798a954ce72a4998961f
附件3,附件3\图3-1.jpg,244,1350,18.0,255.0,162.2397,42.5773,79.0,255.0,0.326533,888fb77de27e532bda478680be05dfd87a7c177292a48c19bc742636978f76d7
附件3,附件3\图3-10.jpg,244,1350,18.0,255.0,167.6826,41.7004,95.0,255.0,0.20623,820dbb2e96aa95004c1dd8919b2952a71d398b877b97ba2ad2c8c109064cd28f
附件3,附件3\图3-11.jpg,244,1350,18.0,255.0,160.6329,48.1645,75.0,255.0,0.278327,66a966f505b3185910a61959deb7d95515d1c6341e98a01d72ef44f44d01044c
附件3,附件3\图3-2.jpg,244,1350,18.0,255.0,170.0467,50.8022,75.0,255.0,0.244517,48605b52b744d4064a30f5af9f86a3ad19adb9270293199909624a46fe077935
附件3,附件3\图3-3.jpg,244,1350,0.0,255.0,107.8503,40.844,12.0,205.0,0.282325,2308e12dc769886cf4bf299d8796260eb05ba5dcad3c3e4ec25c2c9a39ef6407
附件3,附件3\图3-4.jpg,244,1350,18.0,255.0,167.3597,40.9071,78.0,255.0,0.333707,8d621f991243af7fa308f0cf979ca64128bb575b234cd1b670fa312a247c06d0
附件3,附件3\图3-5.jpg,244,1350,18.0,255.0,172.5715,39.9864,85.0,255.0,0.322556,4b460fcd4378b6b67faa1a144a070daf3f078ea4d7221298cfc4a39ede750320
附件3,附件3\图3-6.jpg,244,1350,18.0,255.0,171.2836,43.194,56.0,255.0,0.25456,370bfc6b2c9c8b55135870e5d6d34cef169693ace2c29090b905c0a4ac84ac54
附件3,附件3\图3-7.jpg,244,1350,18.0,255.0,170.8758,40.1696,77.0,255.0,0.264924,ecd5206f98d102a8d800f2b04612f53da9661601d8f4515b1a585a8bdf21955b
附件3,附件3\图3-8.jpg,244,1350,18.0,255.0,161.8857,46.0921,72.0,255.0,0.271825,ead28f66a2f1e9d3722c4df6c033450fa0f5c372d7acffe5a0a7f1755c2921a6
附件3,附件3\图3-9.jpg,244,1350,18.0,255.0,171.3624,37.6254,92.0,255.0,0.293097,297bfe4ad8b2820fd5f8e069c5e8e9c9900e90fe809db1a2ec853a0f31eef0d9
附件4,附件4\1#孔\0-1m.jpg,864,9167,45.0,255.0,157.9372,32.8176,87.0,238.0,0.049307,30d9fb6d4f7222e9b1051b6db50fddf6d68078827b2b068c16c5d6fbd1ce8809
附件4,附件4\1#孔\1-2m.jpg,864,9167,85.0,255.0,162.1421,25.3316,113.0,219.0,0.015128,e806de521b711f77440ee8d8e9ee382f864a2196924918c537b3ac6c5d9204fe
附件4,附件4\1#孔\2-3m.jpg,864,9167,102.0,255.0,158.7626,19.8527,128.0,213.0,0.008363,f8d53716c02b4f43814749beaf3ce53dde724c7d33ead99d9e712e36ea1e1a64
附件4,附件4\1#孔\3-4m.jpg,864,9167,65.0,255.0,142.4897,16.6731,107.0,194.0,0.004127,e7e72fb167ee10a157d3c93a6c7401164a3e70984a59f2a72383b6c9b2c43d97
附件4,附件4\1#孔\4-5m.jpg,864,9167,91.0,255.0,149.4692,15.9565,123.0,198.0,0.003828,fad2a8d4ef01328b33d587392fd133e058f1424913ab1aee67bd593d1a11eb11
附件4,附件4\1#孔\5-6m.jpg,864,9167,85.0,255.0,175.1664,16.4267,126.0,221.0,0.004104,4f56a637db450d64d9d759c8cabd48c655e07f6a39af7c9fc75a834fedb72dcb
附件4,附件4\1#孔\6-7m.jpg,864,9167,90.0,247.0,159.0352,12.7573,128.0,189.0,0.005335,2b5d71549c7e10f06bdc9c78aa9a8488c1e8e4e4230b3a189bfc90b71fa6fb27
附件4,附件4\2#孔\0-1m.jpg,864,9167,51.0,255.0,162.606,40.1435,90.0,249.0,0.09546,e94e2ba5ab2cf02e76ae1775afb7774dcdb06ef63bdba0fa7dd37e2272201587
附件4,附件4\2#孔\1-2m.jpg,864,9167,55.0,255.0,164.4929,31.465,108.0,241.0,0.079502,4aad134383ef407e490f42ec29538e54a81ccd1c437efb0c805e08f566a6e37a
附件4,附件4\2#孔\2-3m.jpg,864,9167,43.0,255.0,161.3896,33.0347,93.0,245.0,0.077471,f6e1f5c47987cd9cbc6a7dcebdb88ea247f3160175d700f755c2f281affa3b1a
附件4,附件4\2#孔\3-4m.jpg,864,9167,48.0,255.0,162.0022,31.4547,103.0,241.0,0.063262,6d83d0027e50da29ba9de067c69e1f670628b03565d2df43e93ef785c27f3025
附件4,附件4\2#孔\4-5m.jpg,864,9167,42.0,255.0,156.6853,33.8346,102.0,242.0,0.068531,1aaa73cab1c27d6e8f295515fc3418d0c23c88a00d1c63ad1f530b08a91c566f
附件4,附件4\2#孔\5-6m.jpg,864,9167,24.0,255.0,163.4769,33.0687,102.0,242.0,0.108209,6458ff4ec50d38c26c44a75184a90f7376ce4b43d9ecfee2e2d763057584e056
附件4,附件4\2#孔\6-7m.jpg,864,9167,21.0,255.0,152.9175,34.5824,89.0,248.0,0.088692,c72f37550a75cd6c64a3c05fa7b890fd9b7454ce98f4c584b1cdb1ea34ecedc3
附件4,附件4\3#孔\0-1m.jpg,864,9167,10.0,255.0,160.6623,31.1874,103.0,235.0,0.139736,c2f2f698c3283b0eb00c9e27e7ad9fab5e5e05b1ec2aed81979568b433da2621
附件4,附件4\3#孔\1-2m.jpg,864,9167,0.0,255.0,160.6394,32.4461,98.0,237.0,0.125533,1207b64d101880a8008d7db26fe9cc75165fa0feca544d46d9a77f79995f0787
附件4,附件4\3#孔\2-3m.jpg,864,9167,1.0,255.0,159.8847,35.184,92.0,244.0,0.128397,16ec1936e981b3064bf6278a550235b114b3b5056183d181cc2b76c7eea9392a
附件4,附件4\3#孔\3-4m.jpg,864,9167,0.0,255.0,156.8322,40.1942,84.0,246.0,0.149289,f23e3c2defc2dc9f9c6a9d91d0fd438f3dc9bc97cec29b6c1da78ab61c37c9e8
附件4,附件4\3#孔\4-5m.jpg,864,9167,4.0,255.0,151.1968,31.7804,88.0,230.0,0.094198,ed91327ffacf2d51d52fcecc1b39f1c5a85f0ba671a49adbae7b96c05b4b61ce
附件4,附件4\3#孔\5-6m.jpg,864,9167,5.0,255.0,156.108,33.17,95.0,236.0,0.085069,852263f6add95feed7897d806222134a14c8dced215ddf896f2b3bede91cfff5
附件4,附件4\3#孔\6-7m.jpg,864,9167,26.0,255.0,153.4185,27.9737,101.0,226.0,0.092857,10b04d96436380350ed68e0681aebc83a5b0604ca6688b15d9af5fc97507675b
附件4,附件4\4#孔\0-1m.jpg,864,9167,59.0,255.0,161.1699,34.8577,98.0,240.0,0.056675,37aa515c64f346f32ce655b590ee230e7b9d63b88780a3223981acabc0319cad
附件4,附件4\4#孔\1-2m.jpg,864,9167,43.0,255.0,168.9612,34.1391,104.0,245.0,0.072488,b48800dbe37ea180c0f44b2c0d1635ac15069593b2e16155439580f1a16fffc7
附件4,附件4\4#孔\2-3m.jpg,864,9167,49.0,255.0,163.1662,35.9256,88.0,241.0,0.071009,ec58f5920a63fe0d683a5366d03e35c238c5213f809955277f4290c6a950a58c
附件4,附件4\4#孔\3-4m.jpg,864,9167,36.0,255.0,164.477,35.932,87.0,246.0,0.076944,2a8d05020f867a413429b5b7aa37933b48c450be31707cf2b40a0b863a7c3a27
附件4,附件4\4#孔\4-5m.jpg,864,9167,28.0,255.0,156.8552,46.3364,62.0,250.0,0.091691,e5d5a9d5806c242c665cb5f2de2da04fd23cabfa3309a005768ea4df64cd6116
附件4,附件4\5#孔\0-1m.jpg,864,9167,81.0,255.0,158.5003,22.5196,119.0,229.0,0.057115,2cbe9a70ef9d5cc74753a1968890745b5b5a3ffdd9009eac98d7a1393e6b3e10
附件4,附件4\5#孔\1-2m.jpg,864,9167,103.0,255.0,160.6703,21.1766,126.0,214.0,0.022517,25941dcb213f6b5973d20b76687d2580754cb303c9a127863d812f831dd60f93
附件4,附件4\5#孔\2-3m.jpg,864,9167,90.0,255.0,159.8849,22.5108,124.0,221.0,0.018343,47edc5d7e6c468682df33ea4d827bf6e1bc728e75f0d083ecdc5cfbd1752d440
附件4,附件4\5#孔\3-4m.jpg,864,9167,85.0,255.0,157.4656,22.3225,118.0,207.0,0.023502,9d515c15a0f6954f5d856bcb8cb95f70c212f1b1292e9ad5b221d91119cb1fd4
附件4,附件4\5#孔\4-5m.jpg,864,9167,93.0,255.0,156.1916,18.8374,119.0,205.0,0.007715,3261a9ffdf776c602d9b57bca9b4f3712b6a69c1a3e6a0ec39d8ae516dd4b7f1
附件4,附件4\5#孔\5-6m.jpg,864,9167,70.0,255.0,171.412,32.5407,108.0,241.0,0.074132,ea7c3c2fca5bd3c7b1c87e64b0a298a2d7aa37bec1e0402a88b3129c4c35391a
附件4,附件4\5#孔\6-7m.jpg,864,9167,61.0,255.0,166.7471,39.8293,99.0,246.0,0.084697,d22bae332c6d4f2e7515298c7a7c75899e775d54c4c964fd8981e6ad41c0e45a
附件4,附件4\6#孔\0-1m.jpg,864,9167,75.0,255.0,164.7597,29.5737,113.0,240.0,0.103078,40b25a2b216a70f63e9dd42b103c1832e25e7f496e29ab2a4b985be633dd2cca
附件4,附件4\6#孔\1-2m.jpg,864,9167,63.0,255.0,165.7996,31.7484,107.0,246.0,0.113269,fbfcad97a17a3f014f46f6feecba7179e91909cca4c3066202f4992050d4a91a
附件4,附件4\6#孔\2-3m.jpg,864,9167,82.0,255.0,172.6027,28.5782,120.0,241.0,0.115877,8c1dbbc39a6fc9e6fb65289cbc70d7fa2e98a3047d2fa121e5a701f43ec0e201
附件4,附件4\6#孔\3-4m.jpg,864,9167,29.0,255.0,168.6766,35.5875,93.0,248.0,0.116841,eb2ece24630c13b8eb65b089ab7e5f8e5c8226cbfe19754661acfd597c8789dd
附件4,附件4\6#孔\4-5m.jpg,864,9167,59.0,255.0,164.2756,30.167,105.0,239.0,0.099161,3d44cc2b08aff47e0612107685e5f69e95b979761c06f7c588e0f2e170acf46a
附件4,附件4\6#孔\5-6m.jpg,864,9167,73.0,255.0,166.3299,34.7949,105.0,244.0,0.095864,26d960a7db54d9b7ef2fb42ca76c9afa7e513a8323f49cd471e94be7533bbc5d
附件4,附件4\6#孔\6-7m.jpg,864,9167,60.0,255.0,173.2064,30.1154,111.0,246.0,0.079927,205c59d115896070a749653cf4b92c21b185c0dbe1cd7ac2110160b4cc488e5d
